Case_Num	Prod_Period	Prod_Type	Shift	Line	Prop_Def	Strength	Rating	Line_Speed	Tank_Acid	Moisture	Temp	Storage_Pct	Anneal_Temp	Bake_1_Temp	Bake_2_Temp	Roll_Tension	Rewind_Speed	Coating_Speed
164	2	2	2	1	.026	414.92	3.46	448.9	3.58	48.2	75.55	83.5	199	136.8	201.4	1.8	125	101.22
165	2	2	1	1	.006	480.11	3.83	492	4	49.8	80.8	93.5	230	136.5	201.4	25	125	101.2
166	2	2	2	1	.039	461.32	3.76	478.5	3.77	48.5	80.8	79.7	184	136.9	201.4	4.1	125	101.2
167	2	2	2	3	.03	438.76	3.7	457.6	3.82	49.8	79.38	75.5	172	137	201.3	7.2	125	101.2
168	2	2	1	1	.044	401.15	3.18	354.2	2.92	46	69.69	80.5	177	137	201.4	1.8	67.1	101.2
169	2	2	1	1	.046	384.83	3.18	353	3.03	45.4	68.07	79.7	179	137	201.4	2.7	67.1	101.2
170	2	2	1	3	.035	438.76	3.69	441.6	3.46	47.5	80.8	80.2	197	136.7	201.2	9.5	125	101.2
172	2	2	2	3	.018	460.06	3.61	423.1	3.61	48.3	80.8	82.2	185	136.9	201.4	2.7	125	101.2
173	2	2	2	1	.017	412.41	3.29	426.8	3.6	49.8	70.7	74	183	136.7	201.2	9.9	125	101.24
174	2	2	2	1	.036	379.81	3.11	430.5	3.36	46.4	60.6	75.5	173	136.9	201.3	6.8	67.1	101.2
175	2	2	3	1	.019	256.96	1.84	317.3	3.16	48.7	67.26	78.2	192	136.7	201.3	5.4	167.8	101.22
176	2	2	3	1	.027	218.13	1.63	364.1	2.58	45.7	64.64	78.7	192	136.7	201.2	8.6	201.3	101.2
177	2	2	2	1	.037	396.13	3.35	429.3	3.49	49.8	72.11	77	190	136.7	201.2	9.5	67.1	101.22
178	2	2	2	3	.015	367.3	3.07	369	3.57	46.2	72	76	174	136.9	201.2	9	125	101.2
179	2	2	2	3	.038	389.85	3.18	417	3.54	46.7	50.5	77.5	173	137	201.4	3.2	125	101.22
180	2	2	3	1	.05	409.9	3.33	409.6	3.51	47.4	77.36	86.5	210	136.7	201.4	2.7	125	101.22
181	2	2	3	1	.03	442.49	3.5	372.7	3.3	38.2	54.74	83.5	208	136.6	201.3	2.7	67.1	101.22
182	2	2	2	3	.038	389.85	3.26	353	3.56	49.1	79.18	72.2	176	136.8	201.2	9	134.2	101.22
183	2	2	1	1	.047	442.49	3.79	444	3.37	48	65.65	82.2	206	136.6	201.3	5.9	67.1	101.22
184	2	2	1	1	.029	462.57	3.69	419.4	3.38	48.9	80.8	81.7	190	136.8	201.4	3.2	125	101.22
185	2	2	1	1	.019	455.04	3.58	434.2	3.33	47	64.64	77.2	181	136.9	201.3	5.4	125	101.249999
186	2	2	1	1	.031	472.58	3.87	452.6	3.6	49.8	78.78	84	205	136.7	201.3	4.1	125	101.23
187	2	2	1	2	.048	431.23	3.6	473.5	3.83	46.7	73.32	79	192	136.7	201.2	9	125	101.2
188	2	2	1	2	.031	452.53	3.81	479.7	3.76	49.8	80.8	83.2	205	136.7	201.3	4.5	125	101.2
189	2	2	2	2	.033	319.64	2.64	380.1	3.21	46.4	74.74	80.5	193	136.8	201.4	2.3	125	101.22
190	2	2	2	3	.009	376.08	3	369	3.67	49.8	80.8	69.5	177	136.7	201.1	12.2	125	101.289996
191	2	2	2	3	.028	384.83	3.14	369	3.52	49.8	80.8	78.5	177	136.9	201.3	6.3	125	101.2
192	2	2	1	3	.037	324.66	2.68	405.9	3.11	48.7	80.8	73.2	193	136.6	201.1	9	234.8	101.249999
193	2	2	1	3	.039	246.96	2.13	385	3.05	48.9	70.7	77.5	190	136.8	201.3	5	134.2	101.22
194	2	2	1	3	.027	288.3	2.33	392.4	3	47.9	70.7	75.2	188	136.7	201.2	8.1	134.2	101.24
195	2	2	1	1	.012	470.1	3.58	480.9	3.75	46.7	60.6	98.7	250	136.3	201.5	25	125	101.2
196	2	2	1	1	.006	501.44	4	492	4	49.8	80.8	96.2	250	136.3	201.5	25	125	101.2
197	2	2	1	1	.003	501.44	4	492	4	49.8	80.8	96.2	250	136.3	201.5	25	125	101.2
200	2	4	2	1	.036	229.39	1.75	204.2	2.23	46	66.05	76	176	136.9	201.3	5.9	125	101.22
201	2	4	2	1	.037	223.11	1.65	236.2	2.38	45.2	67.26	86	197	136.8	201.4	25	125	101.2
202	2	4	1	3	.033	364.79	3.15	394.8	3.42	49.3	79.99	76.5	172	137	201.3	2.7	67.1	101.22
203	2	4	1	3	.036	402.4	3.06	394.8	3.31	46.2	73.53	77.7	178	137	201.3	2.7	67.1	101.22
204	2	4	2	1	.038	254.45	2.21	361.6	2.72	47.4	67.26	83.5	192	136.9	201.4	1.8	125	101.2
205	2	4	1	3	.026	318.39	2.69	383.7	3.12	45.9	72.72	77.2	189	136.7	201.2	12.2	125	101.2
206	2	4	2	1	.029	233.15	1.83	279.2	1.93	42.2	63.22	83.2	186	137	201.4	25	125	101.2
207	2	4	2	1	.031	323.41	2.45	369	2.65	39.9	40.4	71.7	179	136.8	201.2	7.7	167.8	101.22
208	2	4	2	1	.032	344.74	2.88	365.3	3.16	44	67.26	73.2	179	136.8	201.2	9	167.8	101.22
209	2	4	2	3	.039	347.22	2.82	353	3.15	46.3	55.55	75	176	136.8	201.2	10.4	125	101.2
210	2	4	2	3	.028	304.62	2.82	408.3	3.22	46.7	56.56	83.7	195	136.8	201.4	3.2	125	101.2
